title,link,published,category
Сестра Кейт Мосс объяснила причину нанесения тату на лицо после выхода из рехаба,https://lenta.ru/news/2022/12/26/rehab/,"Mon, 26 Dec 2022 17:28:00 +0300",Ценности
СКР возбудил дело из-за убийства россиянкой дочери и двоих сыновей,https://lenta.ru/news/2022/12/26/ekboficioz/,"Mon, 26 Dec 2022 17:26:00 +0300",Силовые структуры
Отдых россиянина на популярном отечественном курорте обернулся угрозой бешенства,https://lenta.ru/news/2022/12/26/dogs/,"Mon, 26 Dec 2022 17:24:00 +0300",Путешествия
В Казахстане признали роль русского языка,https://lenta.ru/news/2022/12/26/russlang/,"Mon, 26 Dec 2022 17:21:00 +0300",Бывший СССР
В Китае назвали дату открытия границ для туристов,https://lenta.ru/news/2022/12/26/china_travel/,"Mon, 26 Dec 2022 17:21:00 +0300",Путешествия
Леонардо Ди Каприо купил дом соседей после скандала с ними,https://lenta.ru/news/2022/12/26/leo_estate/,"Mon, 26 Dec 2022 17:20:00 +0300",Среда обитания
Опубликован список лучших рождественских фильмов,https://lenta.ru/news/2022/12/26/prazdnik_prihodit/,"Mon, 26 Dec 2022 17:18:00 +0300",Культура
Дженна Ортега отказалась читать строчку по сценарию сериала «Уэнсдэй»,https://lenta.ru/news/2022/12/26/ortegasline/,"Mon, 26 Dec 2022 17:16:00 +0300",Культура
Глава МВД заявил о задержании шестерых граждан с 260 килограммами наркотиков,https://lenta.ru/news/2022/12/26/mvdkolhark/,"Mon, 26 Dec 2022 17:13:27 +0300",Силовые структуры
В кабинете главы Росавиации провели обыск,https://lenta.ru/news/2022/12/26/neradko/,"Mon, 26 Dec 2022 17:13:00 +0300",Силовые структуры
Казахстан передал Украине электрогенераторы,https://lenta.ru/news/2022/12/26/electrokz/,"Mon, 26 Dec 2022 17:10:39 +0300",Бывший СССР
Китаю предсказали лидерство в мировой экономике к 2036 году,https://lenta.ru/news/2022/12/26/recidhfirm/,"Mon, 26 Dec 2022 17:09:00 +0300",Экономика
Отец Трусовой заявил о желании выбирать комментаторов на ее выступления,https://lenta.ru/news/2022/12/26/trusova/,"Mon, 26 Dec 2022 17:04:00 +0300",Спорт
Российские врачи вернули мужчине эрекцию с помощью передовой операции по ОМС,https://lenta.ru/news/2022/12/26/erection/,"Mon, 26 Dec 2022 16:59:00 +0300",Забота о себе
Названы худшие игры для ПК,https://lenta.ru/news/2022/12/26/bad_games/,"Mon, 26 Dec 2022 16:58:00 +0300",Технологии
Соседи рассказали об убившей детей из-за «вселившихся бесов» россиянке и ее муже,https://lenta.ru/news/2022/12/26/sosedy_besy/,"Mon, 26 Dec 2022 16:57:00 +0300",Россия
Продажи белорусских ноутбуков Horizont прекратились через три дня после старта,https://lenta.ru/news/2022/12/26/horizont/,"Mon, 26 Dec 2022 16:55:00 +0300",Экономика
Лавров уличил США в намерении установить «конец истории»,https://lenta.ru/news/2022/12/26/lavrovvsfukuyama/,"Mon, 26 Dec 2022 16:54:00 +0300",Мир
Непослушный мальчик захотел получить новогодние подарки и дал взятку Деду Морозу,https://lenta.ru/news/2022/12/26/santa/,"Mon, 26 Dec 2022 16:50:00 +0300",Из жизни
ФСБ опубликовала имена ликвидированных на границе России украинских диверсантов,https://lenta.ru/news/2022/12/26/imenacos/,"Mon, 26 Dec 2022 16:47:00 +0300",Силовые структуры
Из квартиры убившей троих детей «из-за бесов» россиянки слышали громкую молитву,https://lenta.ru/news/2022/12/26/molitva/,"Mon, 26 Dec 2022 16:43:00 +0300",Россия
Раскрыты популярные у россиян продукты для новогоднего стола,https://lenta.ru/news/2022/12/26/newyeartable/,"Mon, 26 Dec 2022 16:42:26 +0300",Ценности
Стали известны подробности уголовного дела блогерши Белоцерковской,https://lenta.ru/news/2022/12/26/belocerkovskaya/,"Mon, 26 Dec 2022 16:42:00 +0300",Интернет и СМИ
Белорусскую спортсменку приговорили к 12 годам колонии,https://lenta.ru/news/2022/12/26/belgeras/,"Mon, 26 Dec 2022 16:41:00 +0300",Спорт
Кинокритики выбрали лучшие российские сериалы года,https://lenta.ru/news/2022/12/26/showzzzzzz/,"Mon, 26 Dec 2022 16:38:13 +0300",Культура
Названа предположительная стоимость ремонта «Северных потоков»,https://lenta.ru/news/2022/12/26/sevspo/,"Mon, 26 Dec 2022 16:38:00 +0300",Экономика
Южную Корею и КНДР сравнили с двумя баранами из-за напряженности,https://lenta.ru/news/2022/12/26/korean_baran/,"Mon, 26 Dec 2022 16:36:00 +0300",Мир
Россиянам объяснили повышение стоимости жилья,https://lenta.ru/news/2022/12/26/kvadrat/,"Mon, 26 Dec 2022 16:34:40 +0300",Среда обитания
Нетаньяху вступился за ЛГБТ перед сопартийцами,https://lenta.ru/news/2022/12/26/netanyahuonelove/,"Mon, 26 Dec 2022 16:26:00 +0300",Мир
В Думе рассказали о влиянии поправок в Налоговый кодекс на работающих удаленно,https://lenta.ru/news/2022/12/26/rabotniki_udalenki/,"Mon, 26 Dec 2022 16:25:00 +0300",Экономика
Обнаружен механизм переключения пола у людей,https://lenta.ru/news/2022/12/26/humpty/,"Mon, 26 Dec 2022 16:25:00 +0300",Технологии
Опоздавшие на рейс россияне описали очереди в Шереметьеве фразой «просто ад»,https://lenta.ru/news/2022/12/26/airport_russians/,"Mon, 26 Dec 2022 16:25:00 +0300",Путешествия
Путин признал разногласия между странами СНГ,https://lenta.ru/news/2022/12/26/disagreements/,"Mon, 26 Dec 2022 16:22:00 +0300",Россия
Перечислена ставшая модной благодаря сериалам одежда,https://lenta.ru/news/2022/12/26/seriesmoda/,"Mon, 26 Dec 2022 16:21:00 +0300",Ценности
Российского депутата задержали за неуплату налогов на 500 миллионов рублей,https://lenta.ru/news/2022/12/26/deputattt/,"Mon, 26 Dec 2022 16:21:00 +0300",Силовые структуры
Под Одессой переименовали поселок Суворово,https://lenta.ru/news/2022/12/26/suvorovo_ua/,"Mon, 26 Dec 2022 16:17:00 +0300",Бывший СССР
В Швеции не нашли улик в деле о взрывах на «Северных потоках»,https://lenta.ru/news/2022/12/26/no_ul/,"Mon, 26 Dec 2022 16:15:00 +0300",Мир
Чернышенко и Матыцин подвели спортивные итоги 2022 года,https://lenta.ru/news/2022/12/26/sportresults/,"Mon, 26 Dec 2022 16:08:00 +0300",Спорт
На российской нефтяной шахте произошло задымление,https://lenta.ru/news/2022/12/26/komi/,"Mon, 26 Dec 2022 16:07:00 +0300",Россия
"В Москве авто врезалось в самосвал, перевернулось, загорелось и попало на видео",https://lenta.ru/news/2022/12/26/dtp_mkad/,"Mon, 26 Dec 2022 16:03:00 +0300",Россия
Акции «Роснефти» обновили полуторамесячный максимум на новости о дивидендах,https://lenta.ru/news/2022/12/26/maxdiv/,"Mon, 26 Dec 2022 16:00:00 +0300",Экономика
Немецкий сенатор высказался о будущем украинских беженцев в Германии,https://lenta.ru/news/2022/12/26/refugees_berlin/,"Mon, 26 Dec 2022 15:59:00 +0300",Мир
