	title	link	published	category
95	В России призвали больше строить СПГ-заводов	https://lenta.ru/news/2022/12/25/new_zavod/	Sun, 25 Dec 2022 12:16:00 +0300	Экономика
96	Илон Маск заявил об отсутствии угрозы банкротства Twitter	https://lenta.ru/news/2022/12/25/masktwit/	Sun, 25 Dec 2022 12:05:00 +0300	Интернет и СМИ
97	Вероятность ЕС попасть в газовую зависимость от Катара оценили	https://lenta.ru/news/2022/12/25/depends/	Sun, 25 Dec 2022 11:59:00 +0300	Мир
98	Исследователи выяснили отношение Армении к притоку россиян в страну	https://lenta.ru/news/2022/12/25/armenia_pritok/	Sun, 25 Dec 2022 11:57:00 +0300	Бывший СССР
99	Тренер сборной России оценил второе место Овечкина в рейтинге снайперов НХЛ	https://lenta.ru/news/2022/12/25/jamnov/	Sun, 25 Dec 2022 11:52:00 +0300	Спорт
100	В Севастополе из моря выловили забывшую свое имя девушку	https://lenta.ru/news/2022/12/25/more_imya/	Sun, 25 Dec 2022 11:38:00 +0300	Россия
101	Глава офиса Зеленского заявил о планах Киева вернуть Крым в 2023 году	https://lenta.ru/news/2022/12/25/crimea/	Sun, 25 Dec 2022 11:38:00 +0300	Мир
102	Новак предсказал новый виток энергокризиса	https://lenta.ru/news/2022/12/25/novak/	Sun, 25 Dec 2022 11:37:00 +0300	Экономика
103	В Японии признали советский Ан-12 шедевральным	https://lenta.ru/news/2022/12/25/an_12/	Sun, 25 Dec 2022 11:28:00 +0300	Наука и техника
104	Немцы раскритиковали рождественское видеопоздравление Зеленского	https://lenta.ru/news/2022/12/25/zelenskiy/	Sun, 25 Dec 2022 11:06:00 +0300	Мир
105	В России выявили 6595 новых заболевших COVID-19	https://lenta.ru/news/2022/12/25/covo_covo/	Sun, 25 Dec 2022 11:03:00 +0300	Россия
106	Силуанов назвал санкции против России выгодными США	https://lenta.ru/news/2022/12/25/siluanov/	Sun, 25 Dec 2022 10:54:00 +0300	Экономика
107	Тренер «Манчестер Юнайтед» выступил с обвинениями в адрес Роналду	https://lenta.ru/news/2022/12/25/haag/	Sun, 25 Dec 2022 10:53:00 +0300	Спорт
108	В Киеве прогремели взрывы	https://lenta.ru/news/2022/12/25/vzrivi/	Sun, 25 Dec 2022 10:52:00 +0300	Бывший СССР
109	По всей Украине объявлена воздушная тревога	https://lenta.ru/news/2022/12/25/trevoga/	Sun, 25 Dec 2022 10:32:00 +0300	Бывший СССР
110	В Молдавии посчитали угрозой заявление России о сотрудничестве Кишинева с НАТО	https://lenta.ru/news/2022/12/25/ugroza/	Sun, 25 Dec 2022 10:23:00 +0300	Бывший СССР
111	Россия отказалась поставлять нефть по назначенным Западом ценам	https://lenta.ru/news/2022/12/25/oil/	Sun, 25 Dec 2022 10:13:00 +0300	Экономика
112	В Запорожье создали эшелонированную линию обороны	https://lenta.ru/news/2022/12/25/liniya/	Sun, 25 Dec 2022 10:10:00 +0300	Россия
113	Девушка забыла вынуть тампон и проходила с ним два года	https://lenta.ru/news/2022/12/25/tampon/	Sun, 25 Dec 2022 10:05:00 +0300	Из жизни
114	В Британии раскритиковали ультиматум Байдена в адрес Лондона	https://lenta.ru/news/2022/12/25/ultim/	Sun, 25 Dec 2022 09:52:45 +0300	Мир
115	Член Зала славы UFC умер в 45 лет	https://lenta.ru/news/2022/12/25/bonnar/	Sun, 25 Dec 2022 09:46:01 +0300	Спорт
116	Бузова познакомилась с Песковым и назвала его своим поклонником	https://lenta.ru/news/2022/12/25/buzovaa/	Sun, 25 Dec 2022 09:32:26 +0300	Культура
117	Медик рассказал о спасении российских и украинских военных на фронте	https://lenta.ru/news/2022/12/25/kasper/	Sun, 25 Dec 2022 09:28:00 +0300	Россия
118	Володин предложил повысить налоги для покинувших страну россиян	https://lenta.ru/news/2022/12/25/volodin/	Sun, 25 Dec 2022 09:17:00 +0300	Россия
119	В Уфе пройдет фестиваль новогодних каникул	https://lenta.ru/news/2022/12/25/nyearfest/	Sun, 25 Dec 2022 09:00:09 +0300	Моя страна
120	Россиянам рассказали о важных деталях при покупке подержанного смартфона	https://lenta.ru/news/2022/12/25/busmart/	Sun, 25 Dec 2022 08:58:54 +0300	Наука и техника
121	Во Франции удивились обилию предметов роскоши в российских магазинах	https://lenta.ru/news/2022/12/25/roskosh/	Sun, 25 Dec 2022 08:54:00 +0300	Экономика
122	На Украине решили возродить полк «Азов»	https://lenta.ru/news/2022/12/25/azov/	Sun, 25 Dec 2022 08:52:02 +0300	Бывший СССР
123	Названа причина пожара в российском ночном клубе	https://lenta.ru/news/2022/12/25/izunique/	Sun, 25 Dec 2022 08:31:24 +0300	Россия
124	В России предложили сократить новогодние праздники на время спецоперации	https://lenta.ru/news/2022/12/25/prazdniki/	Sun, 25 Dec 2022 08:23:00 +0300	Россия
125	Китай заявил о серьезных трудностях в отношениях с США	https://lenta.ru/news/2022/12/25/trudnosti/	Sun, 25 Dec 2022 08:17:52 +0300	Мир
126	В ЛНР заявили о переброске дополнительных сил Киева на сватовское направление	https://lenta.ru/news/2022/12/25/perebros/	Sun, 25 Dec 2022 08:10:00 +0300	Россия
127	Опубликована вступительная сцена из приквела «Ведьмака»	https://lenta.ru/news/2022/12/25/scene/	Sun, 25 Dec 2022 08:05:00 +0300	Культура
128	Германии предрекли зависимость из-за отказа от российского газа	https://lenta.ru/news/2022/12/25/otkaz/	Sun, 25 Dec 2022 08:03:40 +0300	Интернет и СМИ
129	Прокуратура проверит сообщения о пожаре в российском ночном клубе	https://lenta.ru/news/2022/12/25/vdkpozhar/	Sun, 25 Dec 2022 07:43:12 +0300	Силовые структуры
130	ВСУ нанесли удар по Михайловке из HIMARS	https://lenta.ru/news/2022/12/25/vsu/	Sun, 25 Dec 2022 07:37:00 +0300	Россия
131	Названо количество отправленных Деду Морозу писем	https://lenta.ru/news/2022/12/25/pochtaded/	Sun, 25 Dec 2022 07:16:01 +0300	Россия
132	Устроившим поджог в российском военкомате оказался экс-депутат	https://lenta.ru/news/2022/12/25/podzheg/	Sun, 25 Dec 2022 07:03:00 +0300	Силовые структуры
133	Российская футболистка сравнила зарплаты в женской и мужской командах	https://lenta.ru/news/2022/12/25/petrova/	Sun, 25 Dec 2022 07:00:31 +0300	Спорт
134	В ООН предупредили о последствиях запрета на работу женщин в НПО Афганистана	https://lenta.ru/news/2022/12/25/oon/	Sun, 25 Dec 2022 06:58:00 +0300	Мир
135	Байден с никелированной миской в руках нарядил елку к Рождеству	https://lenta.ru/news/2022/12/25/miska/	Sun, 25 Dec 2022 06:54:07 +0300	Мир
136	В Китае заявили о крепких отношениях с Россией	https://lenta.ru/news/2022/12/25/otnosheniya/	Sun, 25 Dec 2022 06:48:00 +0300	Мир
137	Терапевт предупредила о болезнях сердца из-за гриппа	https://lenta.ru/news/2022/12/25/heartorvi/	Sun, 25 Dec 2022 06:39:00 +0300	Забота о себе
138	Названо слабое место Европы перед Россией в новой торговой войне	https://lenta.ru/news/2022/12/25/epizod/	Sun, 25 Dec 2022 06:39:00 +0300	Экономика
139	В США рассказали о потребности России в атомном авианосце	https://lenta.ru/news/2022/12/25/ncg9m/	Sun, 25 Dec 2022 06:30:11 +0300	Наука и техника
140	Пожар в российском ночном клубе попал на видео	https://lenta.ru/news/2022/12/25/vladivostok/	Sun, 25 Dec 2022 06:28:30 +0300	Россия
141	Диетолог рассказала о важных витаминах зимой	https://lenta.ru/news/2022/12/25/vitaminy/	Sun, 25 Dec 2022 06:17:27 +0300	Забота о себе
142	Умер экс-глава МИД Италии Франко Фраттини	https://lenta.ru/news/2022/12/25/fratinni/	Sun, 25 Dec 2022 06:12:06 +0300	Мир
143	Британцы захотели отобрать свои дома у украинских беженцев на Рождество	https://lenta.ru/news/2022/12/25/home_sweet_home/	Sun, 25 Dec 2022 06:04:22 +0300	Мир
144	ОАЭ передадут Украине 2,5 тысячи электрогенераторов	https://lenta.ru/news/2022/12/25/oae/	Sun, 25 Dec 2022 05:32:56 +0300	Мир
145	Российские разведчики нанесли удар по ВСУ на Купянском направлении	https://lenta.ru/news/2022/12/25/kupyansk/	Sun, 25 Dec 2022 05:25:00 +0300	Россия
146	Режиссер «Русалочки» прокомментировал выбор темнокожей актрисы на главную роль	https://lenta.ru/news/2022/12/25/role/	Sun, 25 Dec 2022 05:21:29 +0300	Культура
147	В США признали ошибки в течение 30 лет по всем ключевым глобальным вопросам	https://lenta.ru/news/2022/12/25/mistakes/	Sun, 25 Dec 2022 05:16:27 +0300	Интернет и СМИ
148	В США из-за снежной бури погибли 23 человека	https://lenta.ru/news/2022/12/25/usa/	Sun, 25 Dec 2022 05:02:00 +0300	Мир
149	В Киеве возмутились сравнением Зеленского с управляющим стриптиз-клуба	https://lenta.ru/news/2022/12/25/kievotvet/	Sun, 25 Dec 2022 04:57:00 +0300	Бывший СССР
150	Нейросеть создала прототип «советского айфона»	https://lenta.ru/news/2022/12/25/ussriphone/	Sun, 25 Dec 2022 04:55:00 +0300	Наука и техника
