title,link,published,category
Глава офиса Зеленского заявил о планах Киева вернуть Крым в 2023 году,https://lenta.ru/news/2022/12/25/crimea/,"Sun, 25 Dec 2022 11:38:00 +0300",Мир
Новак предсказал новый виток энергокризиса,https://lenta.ru/news/2022/12/25/novak/,"Sun, 25 Dec 2022 11:37:00 +0300",Экономика
В Японии признали советский Ан-12 шедевральным,https://lenta.ru/news/2022/12/25/an_12/,"Sun, 25 Dec 2022 11:28:00 +0300",Наука и техника
Немцы раскритиковали рождественское видеопоздравление Зеленского,https://lenta.ru/news/2022/12/25/zelenskiy/,"Sun, 25 Dec 2022 11:06:00 +0300",Мир
В России выявили 6595 новых заболевших COVID-19,https://lenta.ru/news/2022/12/25/covo_covo/,"Sun, 25 Dec 2022 11:03:00 +0300",Россия
Силуанов назвал санкции против России выгодными США,https://lenta.ru/news/2022/12/25/siluanov/,"Sun, 25 Dec 2022 10:54:00 +0300",Экономика
Тренер «Манчестер Юнайтед» выступил с обвинениями в адрес Роналду,https://lenta.ru/news/2022/12/25/haag/,"Sun, 25 Dec 2022 10:53:00 +0300",Спорт
В Киеве прогремели взрывы,https://lenta.ru/news/2022/12/25/vzrivi/,"Sun, 25 Dec 2022 10:52:00 +0300",Бывший СССР
По всей Украине объявлена воздушная тревога,https://lenta.ru/news/2022/12/25/trevoga/,"Sun, 25 Dec 2022 10:32:00 +0300",Бывший СССР
В Молдавии посчитали угрозой заявление России о сотрудничестве Кишинева с НАТО,https://lenta.ru/news/2022/12/25/ugroza/,"Sun, 25 Dec 2022 10:23:00 +0300",Бывший СССР
Россия отказалась поставлять нефть по назначенным Западом ценам,https://lenta.ru/news/2022/12/25/oil/,"Sun, 25 Dec 2022 10:13:00 +0300",Экономика
В Запорожье создали эшелонированную линию обороны,https://lenta.ru/news/2022/12/25/liniya/,"Sun, 25 Dec 2022 10:10:00 +0300",Россия
Девушка забыла вынуть тампон и проходила с ним два года,https://lenta.ru/news/2022/12/25/tampon/,"Sun, 25 Dec 2022 10:05:00 +0300",Из жизни
